"msg","code","list__name","list__id","list__levelCode"
"success","0","vip1","1","NM"
"","","vip2","2","FN"
"","","vip3","3","DZ"
"","","vip4","4","ZX"
"","","vip5","5","TP"
"","","vip6","6","ZF"
"","","vip7","7","ZD"
"","","vip8","8","XF"
